ensembl_gene_id;gene_symbol_hint;platform;mean;sd
ENSG00000183273;CCDC60;RNA_Seq;0,4044;2,988
ENSG00000183281;PLGLB1;RNA_Seq;6,6443;0,8483
ENSG00000183283;DAZAP2;RNA_Seq;12,8258;0,6329
ENSG00000183287;CCBE1;RNA_Seq;4,0455;2,8024
ENSG00000183291;SEP15;RNA_Seq;12,1903;0,541
ENSG00000183292;TISP43;RNA_Seq;2,8195;1,0642
ENSG00000183298;RPSAP19;RNA_Seq;-0,7364;1,7052
ENSG00000183303;OR5P2;RNA_Seq;-1,3816;1,7249
ENSG00000183304;FAM9A;RNA_Seq;-0,8417;2,2606
ENSG00000183305;MAGEA2B;RNA_Seq;1,4486;4,4855
ENSG00000183307;CECR6;RNA_Seq;4,3716;2,1796
ENSG00000183308;AC005037.3;RNA_Seq;2,7457;1,9438
ENSG00000183309;ZNF623;RNA_Seq;10,7151;0,7425
ENSG00000183310;OR2T34;RNA_Seq;-1,1798;1,0578
ENSG00000183313;OR52L1;RNA_Seq;-1,045;1,7862
ENSG00000183317;EPHA10;RNA_Seq;7,3151;2,1726
ENSG00000183318;SPDYE4;RNA_Seq;-1,132;1,485
ENSG00000183323;CCDC125;RNA_Seq;9,2381;0,7421
ENSG00000183324;REC114;RNA_Seq;-0,5327;1,7394
ENSG00000183336;BOLA2;RNA_Seq;8,8008;0,7268
ENSG00000183337;BCOR;RNA_Seq;10,7521;1,0406
ENSG00000183340;JRKL;RNA_Seq;9,3273;0,7154
ENSG00000183346;C10orf107;RNA_Seq;1,8182;3,0877
ENSG00000183347;GBP6;RNA_Seq;3,724;4,1696
ENSG00000183354;KIAA2026;RNA_Seq;10,0471;0,7293
ENSG00000183378;OVCH2;RNA_Seq;-0,1621;2,7015
ENSG00000183379;SYNDIG1L;RNA_Seq;0,5654;2,4097
ENSG00000183385;TTTY8;RNA_Seq;-1,5787;1,5759
ENSG00000183386;FHL3;RNA_Seq;8,2121;1,6025
ENSG00000183389;OR56A4;RNA_Seq;-1,1424;1,5969
ENSG00000183395;PMCH;RNA_Seq;0,1324;2,1514
ENSG00000183396;TMEM89;RNA_Seq;1,146;1,9818
ENSG00000183397;C19orf71;RNA_Seq;4,1435;1,3296
ENSG00000183401;CCDC159;RNA_Seq;7,9869;1,0533
ENSG00000183421;RIPK4;RNA_Seq;9,2852;2,3275
ENSG00000183423;LRIT3;RNA_Seq;3,9541;1,5292
ENSG00000183426;NPIPA1;RNA_Seq;11,4898;0,6648
ENSG00000183431;SF3A3;RNA_Seq;11,5268;0,6066
ENSG00000183432;ZBTB8OSP1;RNA_Seq;-1,2969;1,3986
ENSG00000183434;TFDP3;RNA_Seq;-0,784;1,9162
ENSG00000183439;TRIM61;RNA_Seq;2,1411;2,1115
ENSG00000183444;OR7E38P;RNA_Seq;7,5028;0,9992
ENSG00000183454;GRIN2A;RNA_Seq;2,1657;4,1033
ENSG00000183458;RP11-958N24.1;RNA_Seq;9,8519;1,4502
ENSG00000183463;URAD;RNA_Seq;0,1519;3,0126
ENSG00000183470;FLJ40288;RNA_Seq;-1,1921;1,3134
ENSG00000183474;GTF2H2C;RNA_Seq;9,4965;0,7977
ENSG00000183475;ASB7;RNA_Seq;9,3818;0,5357
ENSG00000183476;SH2D7;RNA_Seq;2,8998;2,0187
ENSG00000183479;TREX2;RNA_Seq;4,5956;1,7915
ENSG00000183484;GPR132;RNA_Seq;5,3265;2,5171
ENSG00000183486;MX2;RNA_Seq;8,1385;2,639
ENSG00000183495;EP400;RNA_Seq;11,6966;0,6177
ENSG00000183496;MEX3B;RNA_Seq;6,6844;2,6394
ENSG00000183506;PI4KAP2;RNA_Seq;10,0523;0,962
ENSG00000183508;FAM46C;RNA_Seq;7,4563;2,2561
ENSG00000183513;COA5;RNA_Seq;9,7782;0,5696
ENSG00000183514;TDGF1P2;RNA_Seq;-0,791;1,5891
ENSG00000183520;UTP11L;RNA_Seq;10,1382;0,5966
ENSG00000183527;PSMG1;RNA_Seq;10,0883;0,9125
ENSG00000183530;PRR14L;RNA_Seq;11,1068;0,589
ENSG00000183535;COL18A1-AS1;RNA_Seq;0,0586;2,3183
ENSG00000183542;KLRC4;RNA_Seq;-0,1558;2,3869
ENSG00000183549;ACSM5;RNA_Seq;0,043;3,0883
ENSG00000183559;C10orf120;RNA_Seq;-1,1708;1,3382
ENSG00000183560;IZUMO1R;RNA_Seq;-0,8681;1,6882
ENSG00000183562;CTC-343N3.1;RNA_Seq;3,2484;1,6005
ENSG00000183566;BPIFA4P;RNA_Seq;-1,1945;1,8312
ENSG00000183569;SERHL2;RNA_Seq;7,0534;1,1801
ENSG00000183570;PCBP3;RNA_Seq;3,8849;3,4434
ENSG00000183571;PGPEP1L;RNA_Seq;-0,2182;2,4005
ENSG00000183576;SETD3;RNA_Seq;11,0698;0,5414
ENSG00000183578;TNFAIP8L3;RNA_Seq;4,9892;2,7945
ENSG00000183579;ZNRF3;RNA_Seq;9,4895;1,4203
ENSG00000183580;FBXL7;RNA_Seq;3,6637;4,7171
ENSG00000183586;HMGN3P1;RNA_Seq;-1,352;1,5256
ENSG00000183597;TANGO2;RNA_Seq;9,3745;0,6831
ENSG00000183598;HIST2H3D;RNA_Seq;1,492;2,0069
ENSG00000183604;SMG1P5;RNA_Seq;8,6057;1,1039
ENSG00000183605;SFXN4;RNA_Seq;9,5023;0,7719
ENSG00000183607;GKN2;RNA_Seq;-0,3606;2,3049
ENSG00000183615;FAM167B;RNA_Seq;4,2684;1,8434
ENSG00000183617;MRPL54;RNA_Seq;9,0087;0,6782
ENSG00000183621;ZNF438;RNA_Seq;7,8959;1,0473
ENSG00000183624;HMCES;RNA_Seq;10,9764;0,6542
ENSG00000183625;CCR3;RNA_Seq;0,8689;2,539
ENSG00000183628;DGCR6;RNA_Seq;8,7301;1,6526
ENSG00000183629;GOLGA8G;RNA_Seq;2,5291;1,8408
ENSG00000183631;PRR32;RNA_Seq;-0,6852;2,199
ENSG00000183632;TP53TG3;RNA_Seq;0,4042;3,0452
ENSG00000183638;RP1L1;RNA_Seq;3,7588;1,8452
ENSG00000183640;KRTAP8-1;RNA_Seq;-1,5426;1,8092
ENSG00000183643;C15orf32;RNA_Seq;-1,0323;1,6733
ENSG00000183644;C11orf88;RNA_Seq;1,2946;2,3051
ENSG00000183647;ZNF530;RNA_Seq;7,7712;1,3792
ENSG00000183648;NDUFB1;RNA_Seq;10,0769;0,5857
ENSG00000183654;MARCH11;RNA_Seq;-0,1165;2,7539
ENSG00000183655;KLHL25;RNA_Seq;8,7275;0,8953
ENSG00000183662;FAM19A1;RNA_Seq;-0,1121;2,1043
ENSG00000183663;RP11-44N17.1;RNA_Seq;-1,5459;1,5064
ENSG00000183665;TRMT12;RNA_Seq;9,0013;1,296
ENSG00000183666;GUSBP1;RNA_Seq;8,0967;0,891
ENSG00000183668;PSG9;RNA_Seq;0,8573;2,7475
ENSG00000183671;GPR1;RNA_Seq;2,3949;3,0395
ENSG00000183674;LINC00518;RNA_Seq;1,2948;3,0471
ENSG00000183682;BMP8A;RNA_Seq;2,7748;1,9061
ENSG00000183684;ALYREF;RNA_Seq;11,0048;0,7304
ENSG00000183688;FAM101B;RNA_Seq;7,4827;2,9717
ENSG00000183690;EFHC2;RNA_Seq;4,2357;3,1086
ENSG00000183691;NOG;RNA_Seq;2,4264;3,5489
ENSG00000183695;MRGPRX2;RNA_Seq;-0,8913;1,6984
ENSG00000183696;UPP1;RNA_Seq;9,3663;2,0142
ENSG00000183704;SLC9B1P1;RNA_Seq;-1,6005;1,668
ENSG00000183706;OR4N4;RNA_Seq;-1,2562;1,6762
ENSG00000183709;IFNL2;RNA_Seq;-0,8323;1,7598
ENSG00000183715;OPCML;RNA_Seq;0,6809;3,1398
ENSG00000183718;TRIM52;RNA_Seq;9,9243;0,7881
ENSG00000183722;LHFP;RNA_Seq;5,5003;3,8223
ENSG00000183723;CMTM4;RNA_Seq;11,608;1,1007
ENSG00000183726;TMEM50A;RNA_Seq;11,5567;0,5337
ENSG00000183729;NPBWR1;RNA_Seq;1,6047;3,6285
ENSG00000183733;FIGLA;RNA_Seq;-0,831;2,1644
ENSG00000183734;ASCL2;RNA_Seq;5,5934;4,2418
ENSG00000183735;TBK1;RNA_Seq;10,1998;0,6198
ENSG00000183741;CBX6;RNA_Seq;10,2593;2,3488
ENSG00000183742;MACC1;RNA_Seq;9,3844;3,0197
ENSG00000183747;ACSM2A;RNA_Seq;1,0839;2,6423
ENSG00000183751;TBL3;RNA_Seq;10,5102;0,5892
ENSG00000183753;BPY2;RNA_Seq;-1,3146;1,4825
ENSG00000183760;ACP7;RNA_Seq;2,42;3,9396
ENSG00000183762;KREMEN1;RNA_Seq;10,3607;1,6904
ENSG00000183763;TRAIP;RNA_Seq;8,4281;0,7443
ENSG00000183765;CHEK2;RNA_Seq;9,2418;0,7386
ENSG00000183770;FOXL2;RNA_Seq;1,5562;3,6715
ENSG00000183773;AIFM3;RNA_Seq;6,7373;2,5375
ENSG00000183775;KCTD16;RNA_Seq;3,5234;3,0077
ENSG00000183778;B3GALT5;RNA_Seq;6,4683;3,9819
ENSG00000183779;ZNF703;RNA_Seq;10,0862;2,5496
ENSG00000183780;SLC35F3;RNA_Seq;3,3899;3,9207
ENSG00000183783;KCTD8;RNA_Seq;-0,4176;2,4176
ENSG00000183784;C9orf66;RNA_Seq;2,4917;2,4366
ENSG00000183785;TUBA8;RNA_Seq;5,9457;1,4816
ENSG00000183791;TCEB3C;RNA_Seq;-0,5684;1,8756
ENSG00000183793;NPIPA5;RNA_Seq;7,3931;1,9506
ENSG00000183795;BPY2B;RNA_Seq;-1,4006;1,5112
ENSG00000183798;EMILIN3;RNA_Seq;4,6847;3,0464
ENSG00000183801;OLFML1;RNA_Seq;2,2027;2,9748
ENSG00000183807;FAM162B;RNA_Seq;-0,2501;2,8533
ENSG00000183808;RBM12B;RNA_Seq;10,2504;0,7456
ENSG00000183813;CCR4;RNA_Seq;2,7494;1,8108
ENSG00000183814;LIN9;RNA_Seq;8,8328;0,8409
ENSG00000183822;CTA-833B7.2;RNA_Seq;-0,8696;1,8443
ENSG00000183826;BTBD9;RNA_Seq;9,5487;0,8445
ENSG00000183828;NUDT14;RNA_Seq;8,7892;1,0708
ENSG00000183831;ANKRD45;RNA_Seq;3,272;2,7065
ENSG00000183833;MAATS1;RNA_Seq;4,3472;3,5751
ENSG00000183837;PNMA3;RNA_Seq;4,3519;3,9968
ENSG00000183840;GPR39;RNA_Seq;7,1293;3,0827
ENSG00000183844;FAM3B;RNA_Seq;5,5628;3,9142
ENSG00000183850;ZNF730;RNA_Seq;2,8611;3,7172
ENSG00000183853;KIRREL;RNA_Seq;9,5709;3,1685
ENSG00000183856;IQGAP3;RNA_Seq;11,1955;0,9193
ENSG00000183862;CNGA2;RNA_Seq;-1,3479;2,0217
ENSG00000183864;TOB2;RNA_Seq;10,9382;0,5942
ENSG00000183873;SCN5A;RNA_Seq;4,1195;2,9158
ENSG00000183876;ARSI;RNA_Seq;4,1067;3,659
ENSG00000183878;UTY;RNA_Seq;3,5334;4,4124
ENSG00000183888;C1orf64;RNA_Seq;-0,3673;2,4211
ENSG00000183889;AC138969.4;RNA_Seq;11,3466;0,7692
ENSG00000183891;TTC32;RNA_Seq;8,1058;0,736
ENSG00000183908;LRRC55;RNA_Seq;1,1086;3,1427
ENSG00000183909;OR4G2P;RNA_Seq;-1,4344;1,5816
ENSG00000183911;RPL21P132;RNA_Seq;0,2076;1,6106
ENSG00000183914;DNAH2;RNA_Seq;7,3044;2,6039
ENSG00000183918;SH2D1A;RNA_Seq;0,9596;3,0448
ENSG00000183921;SDR42E2;RNA_Seq;0,1065;2,0631
ENSG00000183929;DUSP5P1;RNA_Seq;3,3406;2,6713
ENSG00000183935;HTR7P1;RNA_Seq;6,7062;1,3603
ENSG00000183938;TRBV21OR9-2;RNA_Seq;-1,3162;1,3749
ENSG00000183943;PRKX;RNA_Seq;10,0054;1,3846
ENSG00000183955;KMT5A;RNA_Seq;10,7573;0,5665
ENSG00000183960;KCNH8;RNA_Seq;5,8038;3,6763
ENSG00000183963;SMTN;RNA_Seq;10,879;1,0784
ENSG00000183971;NPW;RNA_Seq;4,1649;2,9487
ENSG00000183977;PP2D1;RNA_Seq;2,8768;1,2839
ENSG00000183978;COA3;RNA_Seq;10,2016;0,7186
ENSG00000183979;NPB;RNA_Seq;2,6314;2,641
ENSG00000183981;MAGEA13P;RNA_Seq;-1,3799;1,6608
ENSG00000184005;ST6GALNAC3;RNA_Seq;3,219;3,4469
ENSG00000184007;PTP4A2;RNA_Seq;12,3867;0,6563
ENSG00000184009;ACTG1;RNA_Seq;16,3827;0,644
ENSG00000184012;TMPRSS2;RNA_Seq;8,5012;3,9737
ENSG00000184014;DENND5A;RNA_Seq;10,4754;1,5536
ENSG00000184022;OR2T10;RNA_Seq;-1,385;1,6283
ENSG00000184029;DSCR4;RNA_Seq;-0,6646;2,7309
ENSG00000184032;KRTAP20-2;RNA_Seq;-1,2554;1,5142
ENSG00000184033;CTAG1B;RNA_Seq;0,5503;3,0857
ENSG00000184047;DIABLO;RNA_Seq;10,711;0,4717
ENSG00000184055;OR7E87P;RNA_Seq;-0,6798;1,8447
ENSG00000184056;VPS33B;RNA_Seq;9,3522;0,5705
ENSG00000184058;TBX1;RNA_Seq;4,2104;3,9765
ENSG00000184060;ADAP2;RNA_Seq;4,7203;2,329
ENSG00000184068;RP5-821D11.7;RNA_Seq;7,1191;0,8053
ENSG00000184076;UQCR10;RNA_Seq;10,7164;0,6168
ENSG00000184083;FAM120C;RNA_Seq;8,5294;1,2315
ENSG00000184084;CTD-2372A4.1;RNA_Seq;-0,4955;1,8827
ENSG00000184100;BRD7P2;RNA_Seq;-0,9167;1,6204
ENSG00000184106;TREML3P;RNA_Seq;0,0562;2,6157
ENSG00000184108;TRIML1;RNA_Seq;-0,5846;2,1881
ENSG00000184110;EIF3C;RNA_Seq;13,8798;0,664
ENSG00000184111;RP11-366I13.3;RNA_Seq;-0,9218;1,4355
ENSG00000184113;CLDN5;RNA_Seq;2,7457;3,29
ENSG00000184115;RP13-1039J1.2;RNA_Seq;0,443;2,5286
ENSG00000184117;NIPSNAP1;RNA_Seq;11,1053;0,9907
ENSG00000184139;RPL7AP28;RNA_Seq;-0,5244;2,5676
ENSG00000184140;OR4F6;RNA_Seq;-1,2352;1,2398
ENSG00000184144;CNTN2;RNA_Seq;2,309;3,1317
ENSG00000184148;SPRR4;RNA_Seq;-0,2205;3,2666
ENSG00000184154;LRTOMT;RNA_Seq;7,8162;0,7478
ENSG00000184155;OR10J5;RNA_Seq;-1,4684;1,5013
ENSG00000184156;KCNQ3;RNA_Seq;3,996;4,3423
ENSG00000184160;ADRA2C;RNA_Seq;4,147;3,7492
ENSG00000184162;NR2C2AP;RNA_Seq;9,4104;0,7378
ENSG00000184163;FAM132A;RNA_Seq;5,1591;1,7333
ENSG00000184164;CRELD2;RNA_Seq;10,0566;0,8283
ENSG00000184166;OR1D2;RNA_Seq;-1,4225;1,2814
ENSG00000184178;SCFD2;RNA_Seq;8,9481;0,6696
ENSG00000184182;UBE2F;RNA_Seq;9,9688;0,6577
ENSG00000184185;KCNJ12;RNA_Seq;3,7297;3,6016
ENSG00000184188;CTC-512J14.7;RNA_Seq;-1,3775;1,5313
ENSG00000184194;GPR173;RNA_Seq;6,1344;3,2231
ENSG00000184203;PPP1R2;RNA_Seq;11,0287;0,686
ENSG00000184205;TSPYL2;RNA_Seq;9,8909;1,2236
ENSG00000184206;GOLGA6L4;RNA_Seq;8,2942;1,1079
ENSG00000184207;PGP;RNA_Seq;9,7156;0,6258
ENSG00000184208;C22orf46;RNA_Seq;9,4797;0,7753
ENSG00000184209;SNRNP35;RNA_Seq;8,867;0,6192
ENSG00000184210;DGAT2L6;RNA_Seq;-0,9104;1,8292
ENSG00000184216;IRAK1;RNA_Seq;12,8392;0,8039
ENSG00000184220;CMSS1;RNA_Seq;9,8561;0,7817
ENSG00000184221;OLIG1;RNA_Seq;0,8948;3,4088
ENSG00000184224;C11orf72;RNA_Seq;9,3884;0,8438
ENSG00000184226;PCDH9;RNA_Seq;5,3223;2,8531
ENSG00000184227;ACOT1;RNA_Seq;7,6117;1,2381
ENSG00000184232;OAF;RNA_Seq;8,6281;2,6787
ENSG00000184254;ALDH1A3;RNA_Seq;8,3429;2,8302
ENSG00000184258;CDR1;RNA_Seq;0,8461;3,1965
ENSG00000184260;HIST2H2AC;RNA_Seq;2,8021;1,4726
ENSG00000184261;KCNK12;RNA_Seq;2,4471;2,9047
ENSG00000184270;HIST2H2AB;RNA_Seq;-0,4597;1,932
ENSG00000184271;POU6F1;RNA_Seq;7,6572;1,4245
ENSG00000184274;LINC00315;RNA_Seq;-0,2837;2,0329
ENSG00000184276;DEFB108B;RNA_Seq;-1,4101;1,4573
ENSG00000184277;TM2D3;RNA_Seq;9,9271;0,5489
ENSG00000184281;TSSC4;RNA_Seq;9,7164;0,6384
ENSG00000184292;TACSTD2;RNA_Seq;10,1032;4,2323
ENSG00000184293;CLECL1;RNA_Seq;0,5597;2,2402
ENSG00000184302;SIX6;RNA_Seq;-0,0163;2,5505
ENSG00000184303;DRD5P1;RNA_Seq;-0,9687;1,8179
ENSG00000184304;PRKD1;RNA_Seq;5,5464;3,4868
ENSG00000184305;CCSER1;RNA_Seq;5,4291;3,3536
ENSG00000184307;ZDHHC23;RNA_Seq;9,2144;1,7143
ENSG00000184313;MROH7;RNA_Seq;5,8541;2,4771
ENSG00000184319;RPL23AP82;RNA_Seq;9,5327;0,675
ENSG00000184321;OR51J1;RNA_Seq;-1,2908;1,4414
ENSG00000184330;S100A7A;RNA_Seq;0,737;3,7526
ENSG00000184343;SRPK3;RNA_Seq;6,4639;1,8776
ENSG00000184344;GDF3;RNA_Seq;-1,3063;1,6801
ENSG00000184345;IQCF2;RNA_Seq;-1,2781;1,4378
ENSG00000184347;SLIT3;RNA_Seq;4,4415;4,2142
ENSG00000184349;EFNA5;RNA_Seq;7,4594;3,2009
ENSG00000184350;MRGPRE;RNA_Seq;-0,348;2,0504
ENSG00000184351;KRTAP19-1;RNA_Seq;-0,49;2,4878
ENSG00000184357;HIST1H1B;RNA_Seq;1,0945;1,7993
ENSG00000184361;SPATA32;RNA_Seq;2,9571;1,6384
ENSG00000184363;PKP3;RNA_Seq;10,6519;3,2538
ENSG00000184368;MAP7D2;RNA_Seq;7,2006;2,7105
ENSG00000184371;CSF1;RNA_Seq;7,8997;2,5574
ENSG00000184374;COLEC10;RNA_Seq;1,3366;2,6788
ENSG00000184378;ACTRT3;RNA_Seq;5,8847;1,512
ENSG00000184381;PLA2G6;RNA_Seq;8,9307;1,0516
ENSG00000184384;MAML2;RNA_Seq;9,3116;1,8417
ENSG00000184385;UMODL1-AS1;RNA_Seq;0,3133;2,4461
ENSG00000184388;PABPC1L2B;RNA_Seq;-0,8002;2,0761
ENSG00000184389;A3GALT2;RNA_Seq;-0,0248;2,0285
ENSG00000184394;OR4N5;RNA_Seq;-1,3919;1,3811
ENSG00000184402;SS18L1;RNA_Seq;10,4634;0,6853
ENSG00000184408;KCND2;RNA_Seq;2,4158;3,7063
ENSG00000184414;RP11-44M6.3;RNA_Seq;4,8331;0,7399
ENSG00000184423;RPL23AP38;RNA_Seq;-0,2737;1,7446
ENSG00000184428;TOP1MT;RNA_Seq;10,2576;1,102
ENSG00000184432;COPB2;RNA_Seq;12,7422;0,5941
ENSG00000184434;LRRC19;RNA_Seq;3,8413;3,4174
ENSG00000184436;THAP7;RNA_Seq;9,3516;0,7429
ENSG00000184441;AP001062.7;RNA_Seq;7,6379;1,022
ENSG00000184445;KNTC1;RNA_Seq;11,2085;0,7527
ENSG00000184451;CCR10;RNA_Seq;3,999;2,3107
ENSG00000184454;NCMAP;RNA_Seq;5,0807;3,1745
ENSG00000184459;BPIFC;RNA_Seq;0,4949;2,5998
ENSG00000184465;WDR27;RNA_Seq;9,3242;0,8657
ENSG00000184470;TXNRD2;RNA_Seq;9,5319;0,8134
ENSG00000184471;C1QTNF8;RNA_Seq;-0,6946;1,8703
ENSG00000184478;OR56A3;RNA_Seq;-0,7025;2,1081
ENSG00000184481;FOXO4;RNA_Seq;8,9986;1,0168
ENSG00000184486;POU3F2;RNA_Seq;2,8007;3,5464
ENSG00000184489;PTP4A3;RNA_Seq;8,81;2,0257
ENSG00000184492;FOXD4L1;RNA_Seq;3,4305;1,9325
ENSG00000184497;TMEM255B;RNA_Seq;5,0089;2,3885
ENSG00000184500;PROS1;RNA_Seq;8,8584;2,7923
ENSG00000184502;GAST;RNA_Seq;0,589;2,7538
ENSG00000184507;NUTM1;RNA_Seq;1,2577;2,1564
ENSG00000184508;HDDC3;RNA_Seq;8,5115;0,7876
ENSG00000184515;BEX5;RNA_Seq;4,0571;3,1185
ENSG00000184517;ZFP1;RNA_Seq;8,475;0,7884
ENSG00000184523;PTGER4P2;RNA_Seq;-0,7921;1,5786
ENSG00000184524;CEND1;RNA_Seq;2,447;2,595
ENSG00000184530;C6orf58;RNA_Seq;0,4242;1,8288
ENSG00000184544;DHRS7C;RNA_Seq;-1,2141;1,8023
ENSG00000184545;DUSP8;RNA_Seq;8,7284;1,4098
ENSG00000184557;SOCS3;RNA_Seq;8,0009;2,0163
ENSG00000184560;C17orf74;RNA_Seq;-0,5774;2,008
ENSG00000184564;SLITRK6;RNA_Seq;6,379;3,994
ENSG00000184566;RP13-786C16.1;RNA_Seq;-1,2269;1,5799
ENSG00000184571;PIWIL3;RNA_Seq;0,1999;1,9698
ENSG00000184574;LPAR5;RNA_Seq;6,7092;2,8525
ENSG00000184575;XPOT;RNA_Seq;12,4215;0,7825
ENSG00000184584;TMEM173;RNA_Seq;9,3327;1,9435
ENSG00000184588;PDE4B;RNA_Seq;6,7872;3,3419
ENSG00000184599;FAM19A3;RNA_Seq;2,0809;2,8917
ENSG00000184601;C14orf180;RNA_Seq;-0,2521;2,5702
ENSG00000184602;SNN;RNA_Seq;9,7146;1,3949
ENSG00000184608;FAM167A-AS1;RNA_Seq;0,0264;2,386
ENSG00000184611;KCNH7;RNA_Seq;1,0877;2,3787
ENSG00000184612;RPL7P26;RNA_Seq;1,4244;1,6264
ENSG00000184613;NELL2;RNA_Seq;6,2652;3,6774
ENSG00000184616;SPDYE12P;RNA_Seq;2,6708;1,3281
ENSG00000184617;ZNF840P;RNA_Seq;0,1844;2,2407
ENSG00000184619;KRBA2;RNA_Seq;6,5072;1,3389
ENSG00000184624;ZNF72P;RNA_Seq;-1,3246;1,6087
ENSG00000184634;MED12;RNA_Seq;11,0182;0,6711
ENSG00000184635;ZNF93;RNA_Seq;7,5317;2,3561
ENSG00000184640;SEPT9;RNA_Seq;13,1398;0,7482
ENSG00000184647;PRSS55;RNA_Seq;-0,6401;1,9238
ENSG00000184650;ODF4;RNA_Seq;-1,4446;1,7808
ENSG00000184659;FOXD4L4;RNA_Seq;2,6704;2,2183
ENSG00000184661;CDCA2;RNA_Seq;9,1156;0,9863
ENSG00000184669;OR7E14P;RNA_Seq;5,1548;2,5317
ENSG00000184672;RALYL;RNA_Seq;0,4241;3,0742
ENSG00000184675;AMER1;RNA_Seq;8,7769;1,6734
ENSG00000184677;ZBTB40;RNA_Seq;10,81;0,6552
ENSG00000184678;HIST2H2BE;RNA_Seq;8,7237;1,6556
ENSG00000184682;PRR33;RNA_Seq;1,1071;3,0622
ENSG00000184697;CLDN6;RNA_Seq;2,6311;3,1985
ENSG00000184698;OR51M1;RNA_Seq;-1,3233;1,3494
ENSG00000184702;SEPT5;RNA_Seq;8,3655;2,996
ENSG00000184708;EIF4ENIF1;RNA_Seq;9,9881;0,5933
ENSG00000184709;LRRC26;RNA_Seq;2,7148;3,6967
ENSG00000184716;SERINC4;RNA_Seq;2,6798;1,5586
ENSG00000184719;RNLS;RNA_Seq;6,8218;2,5283
ENSG00000184724;KRTAP6-1;RNA_Seq;-1,3597;1,4048
ENSG00000184730;APOBR;RNA_Seq;5,3802;3,4541
ENSG00000184731;FAM110C;RNA_Seq;7,6036;3,542
ENSG00000184735;DDX53;RNA_Seq;-0,2948;2,7102
ENSG00000184741;OR5AQ1P;RNA_Seq;-1,3981;1,4874
ENSG00000184743;ATL3;RNA_Seq;11,3861;0,8777
ENSG00000184752;NDUFA12;RNA_Seq;9,9822;0,5924
ENSG00000184761;AC013269.5;RNA_Seq;-1,1896;1,2989
ENSG00000184774;MGAT4EP;RNA_Seq;1,6966;2,1843
ENSG00000184785;SMIM10;RNA_Seq;3,9376;3,7067
ENSG00000184786;TCTE3;RNA_Seq;7,4028;0,8145
ENSG00000184787;UBE2G2;RNA_Seq;11,935;0,6241
ENSG00000184788;SATL1;RNA_Seq;-0,5635;2,0502
ENSG00000184789;OR4C10P;RNA_Seq;-1,48;1,4015
ENSG00000184792;OSBP2;RNA_Seq;8,1239;1,5841
ENSG00000184795;UNC93B5;RNA_Seq;-1,0602;1,4868
ENSG00000184809;B3GALT5-AS1;RNA_Seq;1,3849;3,6895
ENSG00000184811;TUSC5;RNA_Seq;-0,7221;2,0372
ENSG00000184814;PRR23B;RNA_Seq;-1,3748;1,2739
ENSG00000184828;ZBTB7C;RNA_Seq;7,4612;3,5073
ENSG00000184831;APOO;RNA_Seq;8,6954;0,7997
ENSG00000184838;PRR16;RNA_Seq;2,2375;3,5767
ENSG00000184840;TMED9;RNA_Seq;12,431;0,678
ENSG00000184844;CYCSP45;RNA_Seq;-1,4245;1,6298
ENSG00000184845;DRD1;RNA_Seq;2,4805;3,5379
ENSG00000184856;LINC00308;RNA_Seq;-1,161;1,4816
ENSG00000184857;TMEM186;RNA_Seq;8,7519;0,6637
ENSG00000184860;SDR42E1;RNA_Seq;7,6265;3,5105
ENSG00000184863;RBM33;RNA_Seq;11,7078;0,5474
ENSG00000184867;ARMCX2;RNA_Seq;7,4398;3,3244
ENSG00000184881;OR51B2;RNA_Seq;-1,3647;1,6944
ENSG00000184887;BTBD6;RNA_Seq;10,5998;1,4864
ENSG00000184895;SRY;RNA_Seq;-0,8396;2,525
ENSG00000184897;H1FX;RNA_Seq;11,1444;1,0763
ENSG00000184898;RBM43;RNA_Seq;8,0272;1,2536
ENSG00000184900;SUMO3;RNA_Seq;11,7346;0,6655
ENSG00000184903;IMMP2L;RNA_Seq;7,5491;1,0902
ENSG00000184905;TCEAL2;RNA_Seq;1,7956;3,4633
ENSG00000184906;AC129778.2;RNA_Seq;0,818;2,0628
ENSG00000184908;CLCNKB;RNA_Seq;2,8347;2,6781
ENSG00000184911;DMRTC1B;RNA_Seq;1,5377;2,6615
ENSG00000184916;JAG2;RNA_Seq;9,8949;2,038
ENSG00000184922;FMNL1;RNA_Seq;8,1037;1,9551
ENSG00000184923;NUTM2A;RNA_Seq;5,4443;2,0395
ENSG00000184924;PTRHD1;RNA_Seq;8,987;0,6798
ENSG00000184925;LCN12;RNA_Seq;4,6035;2,3027
ENSG00000184933;OR6A2;RNA_Seq;-1,1363;1,4542
ENSG00000184937;WT1;RNA_Seq;2,4935;3,9082
ENSG00000184939;ZFP90;RNA_Seq;9,7202;1,0791
ENSG00000184945;AQP12A;RNA_Seq;0,4328;2,6952
ENSG00000184949;FAM227A;RNA_Seq;7,9851;1,4207
ENSG00000184954;OR6C70;RNA_Seq;-0,9959;1,8592
ENSG00000184956;MUC6;RNA_Seq;5,2108;2,7017
ENSG00000184961;AL772307.1;RNA_Seq;-0,9673;2,0676
ENSG00000184967;NOC4L;RNA_Seq;9,3108;0,6711
ENSG00000184979;USP18;RNA_Seq;8,6422;1,6333
ENSG00000184983;NDUFA6;RNA_Seq;10,6256;0,6495
ENSG00000184984;CHRM5;RNA_Seq;2,833;1,8138
