ensembl_gene_id;gene_symbol_hint;platform;mean;sd
ENSG00000005448;WDR54;RNA_Seq;8,5382;1,3533
ENSG00000005469;CROT;RNA_Seq;9,3654;1,2885
ENSG00000005471;ABCB4;RNA_Seq;3,4176;3,1215
ENSG00000005483;KMT2E;RNA_Seq;11,6669;0,7118
ENSG00000005486;RHBDD2;RNA_Seq;11,2726;0,7313
ENSG00000005513;SOX8;RNA_Seq;4,4445;4,3633
ENSG00000005700;IBTK;RNA_Seq;11,3714;0,6148
ENSG00000005801;ZNF195;RNA_Seq;9,9578;0,6935
ENSG00000005810;MYCBP2;RNA_Seq;11,5677;0,8537
ENSG00000005812;FBXL3;RNA_Seq;10,851;0,6334
ENSG00000005844;ITGAL;RNA_Seq;3,8097;2,8273
ENSG00000005882;PDK2;RNA_Seq;9,7164;1,0879
ENSG00000005884;ITGA3;RNA_Seq;12,0768;2,064
ENSG00000005889;ZFX;RNA_Seq;10,4064;0,6879
ENSG00000005893;LAMP2;RNA_Seq;12,3671;0,9629
ENSG00000005961;ITGA2B;RNA_Seq;4,7289;2,5214
ENSG00000005981;ASB4;RNA_Seq;2,4417;2,7905
ENSG00000006007;GDE1;RNA_Seq;11,5053;0,7296
ENSG00000006015;C19orf60;RNA_Seq;9,5232;0,7871
ENSG00000006016;CRLF1;RNA_Seq;7,2601;2,0652
ENSG00000006025;OSBPL7;RNA_Seq;9,3203;1,4861
ENSG00000006042;TMEM98;RNA_Seq;10,0131;2,0806
ENSG00000006047;YBX2;RNA_Seq;6,847;3,2941
ENSG00000006059;KRT33A;RNA_Seq;-0,3243;2,3399
ENSG00000006062;MAP3K14;RNA_Seq;9,3695;0,9154
ENSG00000006071;ABCC8;RNA_Seq;2,1199;3,2822
ENSG00000006116;CACNG3;RNA_Seq;-0,823;1,9805
ENSG00000006118;TMEM132A;RNA_Seq;10,5466;1,8921
ENSG00000006125;AP2B1;RNA_Seq;12,9621;0,7025
ENSG00000006128;TAC1;RNA_Seq;0,0416;2,664
ENSG00000006194;ZNF263;RNA_Seq;10,5505;0,4908
ENSG00000006210;CX3CL1;RNA_Seq;8,4095;3,2619
ENSG00000006282;SPATA20;RNA_Seq;11,0039;0,9775
ENSG00000006283;CACNA1G;RNA_Seq;3,0104;3,5875
ENSG00000006327;TNFRSF12A;RNA_Seq;10,5409;1,7663
ENSG00000006377;DLX6;RNA_Seq;4,019;3,8294
ENSG00000006432;MAP3K9;RNA_Seq;10,0149;1,5248
ENSG00000006451;RALA;RNA_Seq;11,2785;0,6887
ENSG00000006453;BAIAP2L1;RNA_Seq;11,1593;1,769
ENSG00000006459;KDM7A;RNA_Seq;10,9097;1,2035
ENSG00000006468;ETV1;RNA_Seq;7,3941;2,9848
ENSG00000006530;AGK;RNA_Seq;10,4144;0,5874
ENSG00000006534;ALDH3B1;RNA_Seq;8,7139;1,9299
ENSG00000006555;TTC22;RNA_Seq;7,8512;3,5342
